task,pipeline,model,sampling_rate,outer_fold,inner_fold,learning_rate,channels,window,accuracy_unbalanced,accuracy_weighted,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted,f1score_micro,f1score_macro,f1score_weighted,rocauc_micro,rocauc_macro,rocauc_weighted,cohen_kappa
alz,flt,dcn,125,1,1,0.00075,61,4,0.6443701226309922,0.5752891422772307,0.6443701226309922,0.6227296816974607,0.6918811573471434,0.6443701226309922,0.5752891422772307,0.6443701226309922,0.6443701226309922,0.5880656987659919,0.6561703977056162,,0.8058494703331306,0.836992538459794,0.4435010407261599
alz,flt,dcn,125,2,1,0.00075,61,4,0.16433941997851773,0.18797831798122802,0.16433941997851773,0.15392082527736398,0.1540106863391461,0.16433941997851773,0.18797831798122802,0.16433941997851773,0.16433941997851773,0.15656092515805484,0.1444294263227154,,0.3714191753538974,0.3776609666219276,-0.16306046062022994
alz,flt,dcn,125,3,1,0.00075,61,4,0.5361826129188927,0.49667483456200784,0.5361826129188927,0.502621681456678,0.5855972640928758,0.5361826129188927,0.49667483456200784,0.5361826129188927,0.5361826129188927,0.4373983190767435,0.496764707193874,,0.6906029645415602,0.7421341245842098,0.28729276761701794
alz,flt,dcn,125,4,1,0.00075,61,4,0.6212207644038791,0.5788625540926103,0.6212207644038791,0.610432836521064,0.6434526642315922,0.6212207644038791,0.5788625540926103,0.6212207644038791,0.6212207644038791,0.5643562696381574,0.5989865539738383,,0.7878956849505471,0.817285385719762,0.4164043643627182
alz,flt,dcn,125,5,1,0.00075,61,4,0.6295099623047927,0.5804138531787143,0.6295099623047927,0.5438422614802589,0.5707948959658518,0.6295099623047927,0.5804138531787143,0.6295099623047927,0.6295099623047927,0.5416603142795399,0.5833737946945636,,0.7531419135429195,0.7741318608869426,0.41530975929881975
alz,flt,dcn,125,6,1,0.00075,61,4,0.5388692579505301,0.5223104205936022,0.5388692579505301,0.6250992285818157,0.6195960855463695,0.5388692579505301,0.5223104205936022,0.5388692579505301,0.5388692579505301,0.5008212314984355,0.5063074255049377,,0.7584501597769985,0.7606023719281139,0.2922649922068631
alz,flt,dcn,125,7,1,0.00075,61,4,0.6019736842105263,0.5881853386735507,0.6019736842105263,0.5981491941235202,0.6685251953696822,0.6019736842105263,0.5881853386735507,0.6019736842105263,0.6019736842105263,0.5441305013173412,0.5728993126370129,,0.8564285752875556,0.8769421351548983,0.3867621377634589
alz,flt,dcn,125,8,1,0.00075,61,4,0.5220793739519285,0.5420915384058812,0.5220793739519285,0.5176059984311207,0.5190632815736047,0.5220793739519285,0.5420915384058812,0.5220793739519285,0.5220793739519285,0.49579066795136084,0.4847724197561375,,0.7631590146765594,0.7585033246147898,0.29628496503496515
alz,flt,dcn,125,9,1,0.00075,61,4,0.7179115300942712,0.7192387008288463,0.7179115300942712,0.6983289500894315,0.7112734160526549,0.7179115300942712,0.7192387008288463,0.7179115300942712,0.7179115300942712,0.7036703119488817,0.7094563981614614,,0.88010767400768,0.8734984016441616,0.5693458433116386
alz,flt,dcn,125,10,1,0.00075,61,4,0.6607929515418502,0.6719633645732733,0.6607929515418502,0.7412381139955287,0.7308381272274586,0.6607929515418502,0.6719633645732733,0.6607929515418502,0.6607929515418502,0.6540360096340089,0.6360119154541931,,0.7394501627673965,0.7167813559972428,0.47552167917129007
alz,flt,dcn,125,1,2,0.00075,61,4,0.6923076923076923,0.5775491949910555,0.6923076923076923,0.48203568537672403,0.5735441796765546,0.6923076923076923,0.5775491949910555,0.6923076923076923,0.6923076923076923,0.524683791445733,0.6264081785270713,,0.7089594425519293,0.7732469130682079,0.4908448129861597
alz,flt,dcn,125,2,2,0.00075,61,4,0.31203007518796994,0.30373857385172726,0.31203007518796994,0.25949829904397115,0.28783520205901214,0.31203007518796994,0.30373857385172726,0.31203007518796994,0.31203007518796994,0.2673776805073707,0.28419365359207505,,0.5550486522925072,0.5431101445429402,-0.05174083284829889
alz,flt,dcn,125,3,2,0.00075,61,4,0.4861583292860612,0.43189986070603714,0.4861583292860612,0.4169730790453657,0.49536284156897115,0.4861583292860612,0.43189986070603714,0.4861583292860612,0.4861583292860612,0.4146220552854986,0.47984596744382446,,0.6054507521108264,0.6603229908821231,0.2061002547057147
alz,flt,dcn,125,4,2,0.00075,61,4,0.6400456360524814,0.5816248569915508,0.6400456360524814,0.5785017792507116,0.5978915128153126,0.6400456360524814,0.5816248569915508,0.6400456360524814,0.6400456360524814,0.5330735843909387,0.580232470652871,,0.8561560623471736,0.864579463751789,0.43250795976560386
alz,flt,dcn,125,5,2,0.00075,61,4,0.4728056004308024,0.47133626692298697,0.4728056004308024,0.47383137751892307,0.5041505467771678,0.4728056004308024,0.47133626692298697,0.4728056004308024,0.4728056004308024,0.4578422540339211,0.47187886741856616,,0.6971055322069352,0.7160332770641964,0.22056445959868143
alz,flt,dcn,125,6,2,0.00075,61,4,0.6578327444051826,0.6486113346876047,0.6578327444051826,0.7726391935950759,0.7633489817254887,0.6578327444051826,0.6486113346876047,0.6578327444051826,0.6578327444051826,0.6517883932659653,0.6516329370066155,,0.8592508906079863,0.8593094664892473,0.4781232840624513
alz,flt,dcn,125,7,2,0.00075,61,4,0.6458333333333334,0.6453947743299939,0.6458333333333334,0.656798903831025,0.7514072856430472,0.6458333333333334,0.6453947743299939,0.6458333333333334,0.6458333333333334,0.6212745373439834,0.6762813860767494,,0.8432936196497377,0.8725784624226964,0.4732671585445718
alz,flt,dcn,125,8,2,0.00075,61,4,0.4041363890441588,0.41975771373572474,0.4041363890441588,0.42529584291066547,0.4251385029833207,0.4041363890441588,0.41975771373572474,0.4041363890441588,0.4041363890441588,0.40036254904607155,0.3928407608319486,,0.6806687952365289,0.6785406797741677,0.12381079274357865
alz,flt,dcn,125,9,2,0.00075,61,4,0.7606961566352429,0.739318516496568,0.7606961566352429,0.7703233766463438,0.7640799959881467,0.7606961566352429,0.739318516496568,0.7606961566352429,0.7606961566352429,0.7326729654914889,0.7447157601855696,,0.8794812786488979,0.8694157025457374,0.624605896822922
alz,flt,dcn,125,10,2,0.00075,61,4,0.5330396475770925,0.4682002081368644,0.5330396475770925,0.5607624613913922,0.5545136458135022,0.5330396475770925,0.4682002081368644,0.5330396475770925,0.5330396475770925,0.41504936396854636,0.46007123090015356,,0.7460538444581779,0.7654466519027319,0.2425385383841986
alz,flt,dcn,125,1,3,0.00075,61,4,0.6348940914158305,0.5289321652906452,0.6348940914158305,0.47239900171709975,0.559470393703798,0.6348940914158305,0.5289321652906452,0.6348940914158305,0.6348940914158305,0.4966395840227616,0.5931839246962867,,0.7215276918763384,0.7808367480296662,0.4073644824179298
alz,flt,dcn,125,2,3,0.00075,61,4,0.34049409237379163,0.3259809002310559,0.34049409237379163,0.3392889231356457,0.3871115296711269,0.34049409237379163,0.3259809002310559,0.34049409237379163,0.34049409237379163,0.3196324450107544,0.35363549009920686,,0.45235824463614427,0.47072721962823594,0.003990509200473835
alz,flt,dcn,125,3,3,0.00075,61,4,0.5162700339970859,0.5011688355873612,0.5162700339970859,0.5147245599140073,0.590103592956914,0.5162700339970859,0.5011688355873612,0.5162700339970859,0.5162700339970859,0.4813354457936451,0.5203699874678455,,0.6696311955400237,0.7257380433969216,0.283113581719425
alz,flt,dcn,125,4,3,0.00075,61,4,0.8106103822019395,0.7869314998822886,0.8106103822019395,0.8036809333198013,0.8082424209749339,0.8106103822019395,0.7869314998822886,0.8106103822019395,0.8106103822019395,0.7884642671018781,0.803493627717628,,0.9135449982393729,0.9210256366746508,0.7089370929717327
alz,flt,dcn,125,5,3,0.00075,61,4,0.6698976844372644,0.6546301959326785,0.6698976844372644,0.6653650652344526,0.712114252690952,0.6698976844372644,0.6546301959326785,0.6698976844372644,0.6698976844372644,0.6405840171312476,0.6684898563623591,,0.8485176642392682,0.8674144637412045,0.504063457376175
alz,flt,dcn,125,6,3,0.00075,61,4,0.4275618374558304,0.40459710301611246,0.4275618374558304,0.48230541212468925,0.4780591235884139,0.4275618374558304,0.40459710301611246,0.4275618374558304,0.42756183745583043,0.3106063457576205,0.3203901120552967,,0.7305221420226733,0.734404465308548,0.11268954972565493
alz,flt,dcn,125,7,3,0.00075,61,4,0.6025219298245614,0.5496254822977276,0.6025219298245614,0.5462155785865416,0.6226774726114747,0.6025219298245614,0.5496254822977276,0.6025219298245614,0.6025219298245614,0.5242577312088355,0.5825199377502343,,0.8582494962962244,0.8726257638860241,0.37439356529909085
alz,flt,dcn,125,8,3,0.00075,61,4,0.529346003353829,0.5185214631741368,0.529346003353829,0.5043247071105738,0.5120887420672505,0.529346003353829,0.5185214631741368,0.529346003353829,0.529346003353829,0.5090979677023811,0.5185335659728814,,0.73782445247369,0.7405265716219938,0.2879706327792789
alz,flt,dcn,125,9,3,0.00075,61,4,0.7860768672951414,0.7615125822292675,0.7860768672951414,0.8033993878272994,0.79248703127749,0.7860768672951414,0.7615125822292675,0.7860768672951414,0.7860768672951415,0.7599780717767017,0.7712867362279433,,0.887964722617148,0.8762002186604917,0.6626099634996239
