task,subj_tot,subj_train,subj_val,subj_test,sample_tot,sample_train,sample_val,sample_test,ratio_train,ratio_val,ratio_test,sample_train_class_0,sample_train_class_1,sample_train_class_2,ratio_train_class_0,ratio_train_class_1,ratio_train_class_2,sample_val_class_0,sample_val_class_1,sample_val_class_2,ratio_val_class_0,ratio_val_class_1,ratio_val_class_2,sample_test_class_0,sample_test_class_1,sample_test_class_2,ratio_test_class_0,ratio_test_class_1,ratio_test_class_2,baseline
alzheimer,88.0,64.0,15.0,9.0,17604.0,12677.0,3133.0,1794.0,0.720120427175642,0.17797091570097706,0.10190865712338106,4393.0,3074.0,5210.0,0.3465330914254161,0.24248639267965608,0.41098051589492784,1058.0,733.0,1342.0,0.3376954995212257,0.23396105968720077,0.42834344079157355,645.0,369.0,780.0,0.3595317725752508,0.205685618729097,0.43478260869565216,0.3606055860672699
alzheimer,88.0,63.0,16.0,9.0,17604.0,12373.0,3437.0,1794.0,0.7028516246307658,0.1952397182458532,0.10190865712338106,4377.0,2984.0,5012.0,0.35375414208356903,0.2411702901479027,0.40507556776852827,1074.0,823.0,1540.0,0.3124818155368054,0.23945301134710503,0.4480651731160896,645.0,369.0,780.0,0.3595317725752508,0.205685618729097,0.43478260869565216,0.3606055860672699
alzheimer,88.0,62.0,17.0,9.0,17604.0,12553.0,3257.0,1794.0,0.7130765735060214,0.1850147693705976,0.10190865712338106,4142.0,3014.0,5397.0,0.3299609655062535,0.24010196765713376,0.42993706683661276,1309.0,793.0,1155.0,0.4019035922628185,0.24347559103469452,0.35462081670248696,645.0,369.0,780.0,0.3595317725752508,0.205685618729097,0.43478260869565216,0.3606055860672699
alzheimer,88.0,63.0,16.0,9.0,17604.0,12597.0,3213.0,1794.0,0.715576005453306,0.18251533742331288,0.10190865712338106,4439.0,3088.0,5070.0,0.3523854886083988,0.24513773120584267,0.4024767801857585,1012.0,719.0,1482.0,0.3149704326174914,0.22377840024898848,0.4612511671335201,645.0,369.0,780.0,0.3595317725752508,0.205685618729097,0.43478260869565216,0.3606055860672699
alzheimer,88.0,64.0,15.0,9.0,17604.0,13040.0,2770.0,1794.0,0.7407407407407407,0.1573506021358782,0.10190865712338106,4453.0,3068.0,5519.0,0.3414877300613497,0.2352760736196319,0.42323619631901843,998.0,739.0,1033.0,0.36028880866425994,0.2667870036101083,0.3729241877256318,645.0,369.0,780.0,0.3595317725752508,0.205685618729097,0.43478260869565216,0.3606055860672699
alzheimer,88.0,64.0,15.0,9.0,17604.0,12692.0,3050.0,1862.0,0.7209725062485799,0.1732560781640536,0.10577141558736651,4408.0,3074.0,5210.0,0.3473053892215569,0.24219981090450676,0.41049479987393633,1096.0,733.0,1221.0,0.359344262295082,0.24032786885245902,0.400327868852459,592.0,369.0,901.0,0.317937701396348,0.19817400644468314,0.48388829215896884,0.37450519808805427
alzheimer,88.0,63.0,16.0,9.0,17604.0,12305.0,3437.0,1862.0,0.6989888661667802,0.1952397182458532,0.10577141558736651,4430.0,2984.0,4891.0,0.36001625355546524,0.24250304754164972,0.397480698902885,1074.0,823.0,1540.0,0.3124818155368054,0.23945301134710503,0.4480651731160896,592.0,369.0,901.0,0.317937701396348,0.19817400644468314,0.48388829215896884,0.37450519808805427
alzheimer,88.0,62.0,17.0,9.0,17604.0,12485.0,3257.0,1862.0,0.709213815042036,0.1850147693705976,0.10577141558736651,4195.0,3014.0,5276.0,0.3360032038446135,0.24140969162995596,0.4225871045254305,1309.0,793.0,1155.0,0.4019035922628185,0.24347559103469452,0.35462081670248696,592.0,369.0,901.0,0.317937701396348,0.19817400644468314,0.48388829215896884,0.37450519808805427
alzheimer,88.0,63.0,16.0,9.0,17604.0,12529.0,3213.0,1862.0,0.7117132469893206,0.18251533742331288,0.10577141558736651,4492.0,3088.0,4949.0,0.35852821454226197,0.24646819379040627,0.3950035916673318,1012.0,719.0,1482.0,0.3149704326174914,0.22377840024898848,0.4612511671335201,592.0,369.0,901.0,0.317937701396348,0.19817400644468314,0.48388829215896884,0.37450519808805427
alzheimer,88.0,64.0,15.0,9.0,17604.0,12957.0,2785.0,1862.0,0.7360259032038173,0.15820268120881617,0.10577141558736651,4491.0,3068.0,5398.0,0.3466080111136837,0.23678320598904068,0.4166087828972756,1013.0,739.0,1033.0,0.3637342908438061,0.26535008976660684,0.37091561938958706,592.0,369.0,901.0,0.317937701396348,0.19817400644468314,0.48388829215896884,0.37450519808805427
alzheimer,88.0,64.0,15.0,9.0,17604.0,12504.0,3041.0,2059.0,0.7102931152010906,0.17274483072029084,0.1169620540786185,4408.0,3074.0,5022.0,0.3525271912987844,0.24584133077415227,0.40163147792706333,1034.0,663.0,1344.0,0.34001973035185795,0.2180203880302532,0.44195988161788885,654.0,439.0,966.0,0.3176299174356484,0.21321029626032054,0.4691597863040311,0.36645829996643464
alzheimer,88.0,63.0,16.0,9.0,17604.0,12296.0,3249.0,2059.0,0.6984776187230175,0.18456032719836402,0.1169620540786185,4368.0,2914.0,5014.0,0.35523747560182173,0.23698763825634353,0.40777488614183477,1074.0,823.0,1352.0,0.33056325023084027,0.2533087103724223,0.4161280393967375,654.0,439.0,966.0,0.3176299174356484,0.21321029626032054,0.4691597863040311,0.36645829996643464
alzheimer,88.0,62.0,17.0,9.0,17604.0,12288.0,3257.0,2059.0,0.6980231765507839,0.1850147693705976,0.1169620540786185,4133.0,2944.0,5211.0,0.3363444010416667,0.23958333333333334,0.424072265625,1309.0,793.0,1155.0,0.4019035922628185,0.24347559103469452,0.35462081670248696,654.0,439.0,966.0,0.3176299174356484,0.21321029626032054,0.4691597863040311,0.36645829996643464
alzheimer,88.0,63.0,16.0,9.0,17604.0,12332.0,3213.0,2059.0,0.7005226084980686,0.18251533742331288,0.1169620540786185,4430.0,3018.0,4884.0,0.35922802465131365,0.24472915990917937,0.396042815439507,1012.0,719.0,1482.0,0.3149704326174914,0.22377840024898848,0.4612511671335201,654.0,439.0,966.0,0.3176299174356484,0.21321029626032054,0.4691597863040311,0.36645829996643464
alzheimer,88.0,64.0,15.0,9.0,17604.0,12760.0,2785.0,2059.0,0.7248352647125653,0.15820268120881617,0.1169620540786185,4429.0,2998.0,5333.0,0.34710031347962383,0.23495297805642634,0.4179467084639498,1013.0,739.0,1033.0,0.3637342908438061,0.26535008976660684,0.37091561938958706,654.0,439.0,966.0,0.3176299174356484,0.21321029626032054,0.4691597863040311,0.36645829996643464
alzheimer,88.0,63.0,16.0,9.0,17604.0,12550.0,3301.0,1753.0,0.7129061576914337,0.1875142013178823,0.09957964099068393,4417.0,2919.0,5214.0,0.3519521912350598,0.23258964143426294,0.4154581673306773,1010.0,808.0,1483.0,0.3059678885186307,0.24477431081490458,0.4492578006664647,669.0,449.0,635.0,0.38163148887621223,0.25613234455219624,0.3622361665715916,0.3424614116001613
alzheimer,88.0,63.0,16.0,9.0,17604.0,12338.0,3513.0,1753.0,0.7008634401272438,0.19955691888207225,0.09957964099068393,4344.0,2841.0,5153.0,0.35208299562327766,0.23026422434754418,0.41765278002917816,1083.0,886.0,1544.0,0.30828351836037576,0.25220609165955027,0.439510389980074,669.0,449.0,635.0,0.38163148887621223,0.25613234455219624,0.3622361665715916,0.3424614116001613
alzheimer,88.0,63.0,16.0,9.0,17604.0,12812.0,3039.0,1753.0,0.7277891388320836,0.17263122017723245,0.09957964099068393,4118.0,3152.0,5542.0,0.3214174211676553,0.24601935685295037,0.43256322197939434,1309.0,575.0,1155.0,0.4307337940111879,0.18920697597894043,0.3800592300098717,669.0,449.0,635.0,0.38163148887621223,0.25613234455219624,0.3622361665715916,0.3424614116001613
alzheimer,88.0,63.0,16.0,9.0,17604.0,12638.0,3213.0,1753.0,0.7179050215860032,0.18251533742331288,0.09957964099068393,4415.0,3008.0,5215.0,0.3493432505143219,0.238012343725273,0.4126444057604051,1012.0,719.0,1482.0,0.3149704326174914,0.22377840024898848,0.4612511671335201,669.0,449.0,635.0,0.38163148887621223,0.25613234455219624,0.3622361665715916,0.3424614116001613
alzheimer,88.0,64.0,15.0,9.0,17604.0,13066.0,2785.0,1753.0,0.7422176778004999,0.15820268120881617,0.09957964099068393,4414.0,2988.0,5664.0,0.3378233583346089,0.22868513699678555,0.43349150466860553,1013.0,739.0,1033.0,0.3637342908438061,0.26535008976660684,0.37091561938958706,669.0,449.0,635.0,0.38163148887621223,0.25613234455219624,0.3622361665715916,0.3424614116001613
alzheimer,88.0,64.0,15.0,9.0,17604.0,12585.0,3162.0,1857.0,0.7148943421949557,0.1796182685753238,0.10548738922972052,4467.0,2914.0,5204.0,0.35494636471990465,0.23154549066348828,0.41350814461660707,1010.0,808.0,1344.0,0.31941808981657177,0.25553447185325745,0.4250474383301708,619.0,454.0,784.0,0.3333333333333333,0.24448034464189553,0.42218632202477113,0.34912304053213483
alzheimer,88.0,63.0,16.0,9.0,17604.0,12472.0,3275.0,1857.0,0.7084753465121564,0.18603726425812314,0.10548738922972052,4344.0,3059.0,5069.0,0.34830019243104554,0.2452694034637588,0.40643040410519565,1133.0,663.0,1479.0,0.34595419847328246,0.20244274809160306,0.4516030534351145,619.0,454.0,784.0,0.3333333333333333,0.24448034464189553,0.42218632202477113,0.34912304053213483
alzheimer,88.0,62.0,17.0,9.0,17604.0,12435.0,3312.0,1857.0,0.706373551465576,0.18813905930470348,0.10548738922972052,4168.0,2929.0,5338.0,0.33518295134700443,0.23554483313228788,0.42927221552070766,1309.0,793.0,1210.0,0.3952294685990338,0.23943236714975846,0.36533816425120774,619.0,454.0,784.0,0.3333333333333333,0.24448034464189553,0.42218632202477113,0.34912304053213483
alzheimer,88.0,63.0,16.0,9.0,17604.0,12534.0,3213.0,1857.0,0.7119972733469666,0.18251533742331288,0.10548738922972052,4465.0,3003.0,5066.0,0.3562310515398117,0.239588319770225,0.4041806286899633,1012.0,719.0,1482.0,0.3149704326174914,0.22377840024898848,0.4612511671335201,619.0,454.0,784.0,0.3333333333333333,0.24448034464189553,0.42218632202477113,0.34912304053213483
alzheimer,88.0,64.0,15.0,9.0,17604.0,12962.0,2785.0,1857.0,0.7363099295614633,0.15820268120881617,0.10548738922972052,4464.0,2983.0,5515.0,0.3443912976392532,0.23013423854343465,0.42547446381731213,1013.0,739.0,1033.0,0.3637342908438061,0.26535008976660684,0.37091561938958706,619.0,454.0,784.0,0.3333333333333333,0.24448034464189553,0.42218632202477113,0.34912304053213483
alzheimer,88.0,63.0,16.0,9.0,17604.0,12605.0,3301.0,1698.0,0.7160304476255397,0.1875142013178823,0.09645535105657806,4475.0,2817.0,5313.0,0.3550178500595002,0.22348274494248313,0.42149940499801664,1010.0,808.0,1483.0,0.3059678885186307,0.24477431081490458,0.4492578006664647,611.0,551.0,536.0,0.35983510011778563,0.3244994110718492,0.31566548881036516,0.33442586788864054
alzheimer,88.0,63.0,16.0,9.0,17604.0,12573.0,3333.0,1698.0,0.7142126789366053,0.18933197000681662,0.09645535105657806,4352.0,2978.0,5243.0,0.3461385508629603,0.23685675654179592,0.41700469259524375,1133.0,647.0,1553.0,0.33993399339933994,0.19411941194119411,0.465946594659466,611.0,551.0,536.0,0.35983510011778563,0.3244994110718492,0.31566548881036516,0.33442586788864054
alzheimer,88.0,63.0,16.0,9.0,17604.0,12632.0,3274.0,1698.0,0.717564189956828,0.18598045898659396,0.09645535105657806,4168.0,2913.0,5551.0,0.3299556681443952,0.23060481317289425,0.4394395186827106,1317.0,712.0,1245.0,0.40226023213194867,0.21747098350641417,0.38026878436163714,611.0,551.0,536.0,0.35983510011778563,0.3244994110718492,0.31566548881036516,0.33442586788864054
alzheimer,88.0,63.0,16.0,9.0,17604.0,12693.0,3213.0,1698.0,0.7210293115201091,0.18251533742331288,0.09645535105657806,4473.0,2906.0,5314.0,0.35239896005672416,0.22894508784369338,0.41865595209958245,1012.0,719.0,1482.0,0.3149704326174914,0.22377840024898848,0.4612511671335201,611.0,551.0,536.0,0.35983510011778563,0.3244994110718492,0.31566548881036516,0.33442586788864054
alzheimer,88.0,64.0,15.0,9.0,17604.0,13121.0,2785.0,1698.0,0.7453419677346058,0.15820268120881617,0.09645535105657806,4472.0,2886.0,5763.0,0.3408276808170109,0.2199527475040012,0.4392195716789879,1013.0,739.0,1033.0,0.3637342908438061,0.26535008976660684,0.37091561938958706,611.0,551.0,536.0,0.35983510011778563,0.3244994110718492,0.31566548881036516,0.33442586788864054
alzheimer,88.0,64.0,15.0,9.0,17604.0,12618.0,3162.0,1824.0,0.7167689161554193,0.1796182685753238,0.10361281526925699,4388.0,3071.0,5159.0,0.3477571722935489,0.24338246948803297,0.40886035821841815,1010.0,808.0,1344.0,0.31941808981657177,0.25553447185325745,0.4250474383301708,698.0,297.0,829.0,0.3826754385964912,0.16282894736842105,0.4544956140350877,0.3795200205832564
alzheimer,88.0,63.0,16.0,9.0,17604.0,12521.0,3259.0,1824.0,0.711258804817087,0.185128379913656,0.10361281526925699,4265.0,3232.0,5024.0,0.3406277453877486,0.25812634773580384,0.40124590687644757,1133.0,647.0,1479.0,0.34765265418840136,0.198527155569193,0.45382019024240566,698.0,297.0,829.0,0.3826754385964912,0.16282894736842105,0.4544956140350877,0.3795200205832564
